astecid,date,cusip,isin,tradingsymbol,utilizationpercentunits
100258,2013-11-29,037833100,US0378331005,AAPL,0.05
100258,2013-12-02,037833100,US0378331005,AAPL,0.02
100258,2013-12-03,037833100,US0378331005,AAPL,0.0
100258,2013-12-04,037833100,US0378331005,AAPL,0.02
100258,2013-12-05,037833100,US0378331005,AAPL,0.01
100258,2013-12-06,037833100,US0378331005,AAPL,0.06
100258,2013-12-09,037833100,US0378331005,AAPL,0.17
100258,2013-12-10,037833100,US0378331005,AAPL,0.04
100258,2013-12-11,037833100,US0378331005,AAPL,0.0
100258,2013-12-12,037833100,US0378331005,AAPL,0.0
100258,2013-12-13,037833100,US0378331005,AAPL,0.01
100258,2013-12-16,037833100,US0378331005,AAPL,0.01
100258,2013-12-17,037833100,US0378331005,AAPL,0.02
100258,2013-12-18,037833100,US0378331005,AAPL,0.02
100258,2013-12-19,037833100,US0378331005,AAPL,0.03
100258,2013-12-20,037833100,US0378331005,AAPL,0.04
100258,2013-12-23,037833100,US0378331005,AAPL,0.02
100258,2013-12-24,037833100,US0378331005,AAPL,0.02
100258,2013-12-25,037833100,US0378331005,AAPL,0.02
100258,2013-12-26,037833100,US0378331005,AAPL,0.01
100258,2013-12-27,037833100,US0378331005,AAPL,0.0
100258,2013-12-30,037833100,US0378331005,AAPL,0.0
100258,2013-12-31,037833100,US0378331005,AAPL,0.0
100258,2014-01-01,037833100,US0378331005,AAPL,0.0
100258,2014-01-02,037833100,US0378331005,AAPL,0.0
100258,2014-01-03,037833100,US0378331005,AAPL,0.0
100258,2014-01-06,037833100,US0378331005,AAPL,0.0
100258,2014-01-07,037833100,US0378331005,AAPL,0.0
100258,2014-01-08,037833100,US0378331005,AAPL,0.0
100258,2014-01-09,037833100,US0378331005,AAPL,0.0
100258,2014-01-10,037833100,US0378331005,AAPL,0.0
100258,2014-01-13,037833100,US0378331005,AAPL,0.04
100258,2014-01-14,037833100,US0378331005,AAPL,0.02
100258,2014-01-15,037833100,US0378331005,AAPL,0.02
100258,2014-01-16,037833100,US0378331005,AAPL,0.04
100258,2014-01-17,037833100,US0378331005,AAPL,0.04
100258,2014-01-20,037833100,US0378331005,AAPL,0.04
100258,2014-01-21,037833100,US0378331005,AAPL,0.02
100258,2014-01-22,037833100,US0378331005,AAPL,0.02
100258,2014-01-23,037833100,US0378331005,AAPL,0.02
100258,2014-01-24,037833100,US0378331005,AAPL,0.02
100258,2014-01-27,037833100,US0378331005,AAPL,0.02
100258,2014-01-28,037833100,US0378331005,AAPL,0.02
100258,2014-01-29,037833100,US0378331005,AAPL,0.02
100258,2014-01-30,037833100,US0378331005,AAPL,0.16
100258,2014-01-31,037833100,US0378331005,AAPL,0.12
100258,2014-02-03,037833100,US0378331005,AAPL,8.73
100258,2014-02-04,037833100,US0378331005,AAPL,5.33
100258,2014-02-05,037833100,US0378331005,AAPL,4.04
100258,2014-02-06,037833100,US0378331005,AAPL,4.09
100258,2014-02-07,037833100,US0378331005,AAPL,3.2
100258,2014-02-10,037833100,US0378331005,AAPL,3.6
100258,2014-02-11,037833100,US0378331005,AAPL,3.22
100258,2014-02-12,037833100,US0378331005,AAPL,3.12
100258,2014-02-13,037833100,US0378331005,AAPL,2.61
100258,2014-02-14,037833100,US0378331005,AAPL,2.6
100258,2014-02-17,037833100,US0378331005,AAPL,2.6
100258,2014-02-18,037833100,US0378331005,AAPL,1.84
100258,2014-02-19,037833100,US0378331005,AAPL,1.7
100258,2014-02-20,037833100,US0378331005,AAPL,1.46
100258,2014-02-21,037833100,US0378331005,AAPL,1.25
100258,2014-02-24,037833100,US0378331005,AAPL,1.23
100258,2014-02-25,037833100,US0378331005,AAPL,1.47
100258,2014-02-26,037833100,US0378331005,AAPL,1.51
100258,2014-02-27,037833100,US0378331005,AAPL,1.14
100258,2014-02-28,037833100,US0378331005,AAPL,0.86
